bank_ref,value_date,credit_amount,narration
TXN18724467,2026-08-06,22030.37,Grovepoint Labs
TXN62851306,2026-08-01,42270.84,Grovepoint Labs
TXN56198137,2026-08-26,22610.87,Grovepoint Labs
TXN35885502,2026-08-26,18282.32,Crest Logistics
TXN87706118,2026-08-16,22112.75,Acme Retail
TXN79531597,2026-08-18,41415.88,Indigo Travel
TXN55408515,2026-08-16,36628.82,Grovepoint Labs
TXN56640215,2026-08-28,4258.32,Indigo Travel
TXN86000721,2026-08-20,8429.77,Everline Media
TXN15127434,2026-08-04,14143.42,Fernway Studio
TXN22799492,2026-08-18,6718.81,Crest Logistics
TXN52975263,2026-08-19,36181.84,Grovepoint Labs
TXN29838397,2026-08-14,25487.59,Crest Logistics
TXN80895189,2026-08-23,28089.88,Acme Retail
TXN80239732,2026-08-22,4473.77,Grovepoint Labs
TXN38649270,2026-08-06,7619.88,Indigo Travel
TXN76833286,2026-08-23,39943.84,Crest Logistics
TXN34391115,2026-08-30,17105.08,Junction Cafe
TXN93251810,2026-08-10,705.32,Acme Retail
TXN18029411,2026-08-13,7278.67,Bluebird Foods
TXN85857323,2026-08-01,621.2,Everline Media
TXN43121380,2026-08-25,20238.42,Junction Cafe
TXN33338833,2026-08-18,27570.92,Junction Cafe
TXN28428700,2026-08-28,35679.49,Harbor Print
TXN17356111,2026-08-28,14492.31,Bluebird Foods
TXN81903989,2026-08-27,42464.84,Delta Textiles
TXN43320645,2026-08-02,31172.9,Junction Cafe
TXN12834620,2026-08-17,14378.29,Harbor Print
TXN62369736,2026-08-24,41309.14,Everline Media
TXN29763572,2026-08-10,31211.18,Indigo Travel
TXN77588951,2026-08-09,19289.87,Junction Cafe
TXN67351709,2026-08-26,11595.0,Bluebird Foods
TXN99178674,2026-08-30,10958.41,Grovepoint Labs
TXN93946424,2026-08-18,18458.85,Bluebird Foods
TXN35955092,2026-08-09,9416.27,Everline Media
TXN23784881,2026-08-12,22162.8,Bluebird Foods
TXN21817597,2026-08-21,6276.24,Indigo Travel
TXN84673173,2026-08-23,18063.21,Junction Cafe
TXN35967771,2026-09-03,20851.91,Indigo Travel
TXN74615659,2026-08-11,38776.85,Junction Cafe
TXN69092920,2026-08-24,28372.4,Grovepoint Labs
TXN86327851,2026-08-29,11781.89,Crest Logistics
TXN20500417,2026-08-06,31116.57,Grovepoint Labs
TXN35230696,2026-08-15,23091.62,Acme Retail
TXN67826251,2026-08-26,11789.55,Junction Cafe
TXN29780863,2026-08-14,42000.6,Delta Textiles
TXN61949762,2026-08-17,7439.73,Crest Logistics
TXN43412602,2026-08-11,22232.41,Bluebird Foods
TXN08076457,2026-08-29,27651.08,Fernway Studio
TXN61224792,2026-08-10,20896.52,Junction Cafe
TXN21186703,2026-08-29,29966.78,Acme Retail
TXN06305519,2026-08-25,5417.04,Bluebird Foods
TXN41281432,2026-08-09,28925.91,Delta Textiles
TXN57146699,2026-08-18,18657.35,Delta Textiles
