txn_id,date,amount,merchant,discrepancy
TXN18724467,2026-08-04,22030.37,Grovepoint Labs,date_shift
TXN62851306,2026-08-01,42270.84,Grovepoint Labs,amount_fee_netted
TXN75795367,2026-08-10,41703.82,Grovepoint Labs,missing_in_bank
TXN56198137,2026-08-23,22610.87,Grovepoint Labs,date_shift
TXN35885502,2026-08-26,18282.32,Crest Logistics,clean
TXN87706118,2026-08-12,22112.75,Acme Retail,date_shift
TXN79531597,2026-08-18,41415.88,Indigo Travel,clean
TXN59542590,2026-08-26,38584.17,Indigo Travel,missing_in_bank
TXN55408515,2026-08-16,36628.82,Grovepoint Labs,clean
TXN56640215,2026-08-28,4258.32,Indigo Travel,id_typo
TXN86000721,2026-08-20,8429.77,Everline Media,clean
TXN15127434,2026-08-01,14143.42,Fernway Studio,date_shift
TXN22799492,2026-08-13,6718.81,Crest Logistics,date_shift
TXN52975263,2026-08-19,36181.84,Grovepoint Labs,clean
TXN29838397,2026-08-14,25487.59,Crest Logistics,clean
TXN80895189,2026-08-23,28089.88,Acme Retail,clean
TXN32641162,2026-08-16,921.43,Junction Cafe,missing_in_bank
TXN80239732,2026-08-22,4473.77,Grovepoint Labs,missing_in_ledger
TXN38649270,2026-08-06,7619.88,Indigo Travel,clean
TXN76833286,2026-08-23,39943.84,Crest Logistics,amount_fee_netted
TXN34391115,2026-08-30,17105.08,Junction Cafe,amount_fee_netted
TXN93251810,2026-08-10,705.32,Acme Retail,clean
TXN18029411,2026-08-08,7278.67,Bluebird Foods,date_shift
TXN85857323,2026-08-01,621.2,Everline Media,id_typo
TXN33036427,2026-08-25,44100.89,Indigo Travel,missing_in_bank
TXN43121380,2026-08-25,20238.42,Junction Cafe,amount_fee_netted
TXN33338833,2026-08-18,27570.92,Junction Cafe,clean
TXN28428700,2026-08-25,35679.49,Harbor Print,date_shift
TXN17356111,2026-08-28,14492.31,Bluebird Foods,id_typo
TXN81903989,2026-08-27,42464.84,Delta Textiles,clean
TXN41762098,2026-08-18,11372.36,Harbor Print,missing_in_bank
TXN43320645,2026-08-02,31172.9,Junction Cafe,clean
TXN12834620,2026-08-17,14378.29,Harbor Print,missing_in_ledger
TXN62369736,2026-08-24,41309.14,Everline Media,duplicate_gateway
TXN29763572,2026-08-10,31211.18,Indigo Travel,clean
TXN77588951,2026-08-09,19289.87,Junction Cafe,id_typo
TXN67351709,2026-08-26,11595.0,Bluebird Foods,clean
TXN99178674,2026-08-30,10958.41,Grovepoint Labs,missing_in_ledger
TXN93946424,2026-08-18,18458.85,Bluebird Foods,amount_fee_netted
TXN35955092,2026-08-09,9416.27,Everline Media,clean
TXN23784881,2026-08-12,22162.8,Bluebird Foods,id_typo
TXN21817597,2026-08-21,6276.24,Indigo Travel,clean
TXN84673173,2026-08-18,18063.21,Junction Cafe,date_shift
TXN35967771,2026-08-30,20851.91,Indigo Travel,date_shift
TXN74615659,2026-08-11,38776.85,Junction Cafe,duplicate_gateway
TXN69092920,2026-08-24,28372.4,Grovepoint Labs,id_typo
TXN86327851,2026-08-27,11781.89,Crest Logistics,date_shift
TXN20500417,2026-08-06,31116.57,Grovepoint Labs,amount_fee_netted
TXN35230696,2026-08-15,23091.62,Acme Retail,clean
TXN67826251,2026-08-26,11789.55,Junction Cafe,clean
TXN29780863,2026-08-14,42000.6,Delta Textiles,id_typo
TXN61949762,2026-08-17,7439.73,Crest Logistics,missing_in_ledger
TXN43412602,2026-08-11,22232.41,Bluebird Foods,missing_in_ledger
TXN08076457,2026-08-29,27651.08,Fernway Studio,amount_fee_netted
TXN61224792,2026-08-10,20896.52,Junction Cafe,clean
TXN42412000,2026-08-16,14482.91,Grovepoint Labs,missing_in_bank
TXN21186703,2026-08-29,29966.78,Acme Retail,amount_fee_netted
TXN06305519,2026-08-25,5417.04,Bluebird Foods,clean
TXN41281432,2026-08-09,28925.91,Delta Textiles,clean
TXN57146699,2026-08-18,18657.35,Delta Textiles,id_typo
